ANO,JANEIRO,FEVEREIRO,MARÇO,ABRIL,MAIO,JUNHO,JULHO,AGOSTO,SETEMBRO,OUTUBRO,NOVEMBRO,DEZEMBRO,TYPE,LAT,LONG
2000,19,11,6,6,28,94,233,839,1364,2654,2267,1462,Maranhão,0.0,0.0
2001,29,1,0,2,21,101,549,2035,4550,6597,3521,1290,Maranhão,0.0,0.0
2002,49,116,16,28,71,227,1675,3789,5543,7152,8421,3377,Maranhão,0.0,0.0
2003,575,13,24,112,236,865,2675,2407,7799,8588,7536,3718,Maranhão,0.0,0.0
2004,338,24,43,98,324,818,1677,2426,6807,5386,10348,5296,Maranhão,0.0,0.0
2005,674,73,19,99,108,662,1984,3118,7805,8704,6670,3775,Maranhão,0.0,0.0
2006,386,36,19,20,89,520,1416,2416,3782,4270,6879,3469,Maranhão,0.0,0.0
2007,634,21,89,76,294,1477,2786,10780,11245,9694,5191,2478,Maranhão,0.0,0.0
2008,203,59,6,40,101,687,1542,1777,3575,5018,5728,3386,Maranhão,0.0,0.0
2009,400,30,39,27,25,312,1182,2181,3107,2839,6505,2485,Maranhão,0.0,0.0
2010,457,104,129,143,300,1225,2601,6826,11813,4095,6082,2502,Maranhão,0.0,0.0
2011,195,14,43,46,98,689,1159,2192,5086,3171,4038,2584,Maranhão,0.0,0.0
2012,461,84,54,114,370,987,3693,10519,7376,5911,2644,2086,Maranhão,0.0,0.0
2013,316,72,45,83,132,603,1332,2374,4312,3221,2368,2597,Maranhão,0.0,0.0
2014,291,17,40,66,140,786,2027,5338,4357,5574,3710,2329,Maranhão,0.0,0.0
2015,458,78,41,103,184,850,1616,5411,5502,6387,4159,3647,Maranhão,0.0,0.0
2016,395,268,70,103,186,693,2182,3849,3109,5617,3826,1491,Maranhão,0.0,0.0
2017,178,44,32,90,157,644,1973,3001,9243,4538,2706,2970,Maranhão,0.0,0.0
2018,281,15,93,50,203,738,1457,2833,3177,1832,2309,904,Maranhão,0.0,0.0
2019,712,74,57,63,139,749,1078,3366,3667,3645,3158,1813,Maranhão,0.0,0.0
2020,86,72,39,93,231,757,1871,2162,3005,0,0,0,Maranhão,0.0,0.0
